Driver,Lap Number,Lap Time,Position,Time,Sector 1,Sector 2,Sector 3
NOR,1.0,0 days 00:01:28.861000,1.0,0 days 01:12:37.412000,,0 days 00:00:31.326000,0 days 00:00:36.909000
NOR,2.0,0 days 00:01:54.426000,1.0,0 days 01:14:31.838000,0 days 00:00:26.438000,0 days 00:00:53.661000,0 days 00:00:34.327000
NOR,3.0,0 days 00:01:53.022000,1.0,0 days 01:16:24.860000,0 days 00:00:26.434000,0 days 00:00:50.148000,0 days 00:00:36.440000
NOR,4.0,0 days 00:01:10.254000,1.0,0 days 01:17:35.114000,0 days 00:00:17.564000,0 days 00:00:31.393000,0 days 00:00:21.297000
NOR,5.0,0 days 00:01:09.858000,1.0,0 days 01:18:44.972000,0 days 00:00:17.488000,0 days 00:00:31.430000,0 days 00:00:20.940000
NOR,6.0,0 days 00:01:09.460000,1.0,0 days 01:19:54.432000,0 days 00:00:17.460000,0 days 00:00:31.107000,0 days 00:00:20.893000
NOR,7.0,0 days 00:01:09.313000,1.0,0 days 01:21:03.745000,0 days 00:00:17.393000,0 days 00:00:30.992000,0 days 00:00:20.928000
NOR,8.0,0 days 00:01:09.394000,1.0,0 days 01:22:13.139000,0 days 00:00:17.407000,0 days 00:00:31.156000,0 days 00:00:20.831000
NOR,9.0,0 days 00:01:09.488000,1.0,0 days 01:23:22.627000,0 days 00:00:17.509000,0 days 00:00:31.005000,0 days 00:00:20.974000
NOR,10.0,0 days 00:01:09.952000,1.0,0 days 01:24:32.579000,0 days 00:00:17.565000,0 days 00:00:31.344000,0 days 00:00:21.043000
NOR,11.0,0 days 00:01:10.946000,1.0,0 days 01:25:43.525000,0 days 00:00:17.955000,0 days 00:00:31.890000,0 days 00:00:21.101000
NOR,12.0,0 days 00:01:10.184000,1.0,0 days 01:26:53.709000,0 days 00:00:17.671000,0 days 00:00:31.361000,0 days 00:00:21.152000
NOR,13.0,0 days 00:01:10.046000,1.0,0 days 01:28:03.755000,0 days 00:00:17.656000,0 days 00:00:31.335000,0 days 00:00:21.055000
NOR,14.0,0 days 00:01:11.318000,1.0,0 days 01:29:15.073000,0 days 00:00:17.749000,0 days 00:00:31.468000,0 days 00:00:22.101000
NOR,15.0,0 days 00:01:11.274000,1.0,0 days 01:30:26.347000,0 days 00:00:17.978000,0 days 00:00:31.803000,0 days 00:00:21.493000
NOR,16.0,0 days 00:01:10.937000,1.0,0 days 01:31:37.284000,0 days 00:00:17.828000,0 days 00:00:31.704000,0 days 00:00:21.405000
NOR,17.0,0 days 00:01:10.841000,1.0,0 days 01:32:48.125000,0 days 00:00:17.763000,0 days 00:00:31.550000,0 days 00:00:21.528000
NOR,18.0,0 days 00:01:10.789000,1.0,0 days 01:33:58.914000,0 days 00:00:17.828000,0 days 00:00:31.530000,0 days 00:00:21.431000
NOR,19.0,0 days 00:01:11.043000,1.0,0 days 01:35:09.957000,0 days 00:00:17.754000,0 days 00:00:31.770000,0 days 00:00:21.519000
NOR,20.0,0 days 00:01:13.982000,2.0,0 days 01:36:23.939000,0 days 00:00:17.709000,0 days 00:00:31.431000,0 days 00:00:24.842000
NOR,21.0,0 days 00:01:27.815000,4.0,0 days 01:37:51.754000,0 days 00:00:35.278000,0 days 00:00:31.151000,0 days 00:00:21.386000
NOR,22.0,0 days 00:01:09.921000,4.0,0 days 01:39:01.675000,0 days 00:00:17.591000,0 days 00:00:31.040000,0 days 00:00:21.290000
NOR,23.0,0 days 00:01:10.012000,4.0,0 days 01:40:11.687000,0 days 00:00:17.642000,0 days 00:00:31.018000,0 days 00:00:21.352000
NOR,24.0,0 days 00:01:09.829000,4.0,0 days 01:41:21.516000,0 days 00:00:17.664000,0 days 00:00:30.918000,0 days 00:00:21.247000
NOR,25.0,0 days 00:01:09.645000,3.0,0 days 01:42:31.161000,0 days 00:00:17.584000,0 days 00:00:30.910000,0 days 00:00:21.151000
NOR,26.0,0 days 00:01:09.620000,1.0,0 days 01:43:40.781000,0 days 00:00:17.552000,0 days 00:00:30.894000,0 days 00:00:21.174000
NOR,27.0,0 days 00:01:09.522000,1.0,0 days 01:44:50.303000,0 days 00:00:17.483000,0 days 00:00:30.880000,0 days 00:00:21.159000
NOR,28.0,0 days 00:01:09.528000,1.0,0 days 01:45:59.831000,0 days 00:00:17.507000,0 days 00:00:30.974000,0 days 00:00:21.047000
NOR,29.0,0 days 00:01:09.494000,1.0,0 days 01:47:09.325000,0 days 00:00:17.542000,0 days 00:00:30.871000,0 days 00:00:21.081000
