Driver,Lap Number,Pit Out Time,Pit In Time
NOR,21.0,0 days 01:36:42.709000,
NOR,53.0,0 days 02:14:17.430000,
PIA,25.0,0 days 01:41:28.494000,
PIA,54.0,0 days 02:15:30.124000,
LEC,26.0,0 days 01:42:45.583000,
LEC,50.0,0 days 02:11:04.038000,
HAM,27.0,0 days 01:43:59.861000,
HAM,51.0,0 days 02:12:23.106000,
RUS,19.0,0 days 01:34:37.817000,
RUS,46.0,0 days 02:06:51.596000,
LAW,33.0,0 days 01:51:28.316000,
ALO,34.0,0 days 01:52:42.705000,
BOR,22.0,0 days 01:38:15.808000,
BOR,50.0,0 days 02:11:39.650000,
HUL,13.0,0 days 01:27:36.949000,
HUL,43.0,0 days 02:03:27.666000,
OCO,20.0,0 days 01:36:00.667000,
OCO,51.0,0 days 02:12:57.345000,
BEA,12.0,0 days 01:26:22.216000,
BEA,40.0,0 days 02:00:03.095000,
HAD,3.0,0 days 01:15:05.962000,
HAD,29.0,0 days 01:46:52.493000,
GAS,13.0,0 days 01:27:32.699000,
GAS,39.0,0 days 01:58:55.377000,
STR,27.0,0 days 01:44:34.877000,
STR,54.0,0 days 02:16:55.119000,
COL,14.0,0 days 01:28:49.942000,
COL,40.0,0 days 02:00:16.141000,
TSU,19.0,0 days 01:34:50.057000,
TSU,31.0,0 days 01:49:35.770000,
TSU,61.0,0 days 02:25:31.846000,
ALB,14.0,0 days 01:28:40.345000,
