Abbreviation,Full Name,Status
NOR,Lando Norris,Finished
PIA,Oscar Piastri,Finished
LEC,Charles Leclerc,Finished
HAM,Lewis Hamilton,Finished
RUS,George Russell,Finished
LAW,Liam Lawson,Finished
ALO,Fernando Alonso,Lapped
BOR,Gabriel Bortoleto,Lapped
HUL,Nico Hulkenberg,Lapped
OCO,Esteban Ocon,Lapped
BEA,Oliver Bearman,Lapped
HAD,Isack Hadjar,Lapped
GAS,Pierre Gasly,Lapped
STR,Lance Stroll,Lapped
COL,Franco Colapinto,Lapped
TSU,Yuki Tsunoda,Lapped
ALB,Alexander Albon,Retired
VER,Max Verstappen,Retired
ANT,Kimi Antonelli,Retired
SAI,Carlos Sainz,Did not start
