Driver,Lap Number,Pit Out Time,Pit In Time
VER,13.0,0 days 01:13:41.716000,
VER,38.0,0 days 01:45:38.867000,
VER,68.0,0 days 02:23:38.616000,0 days 02:25:24.736000
VER,69.0,0 days 02:25:43.895000,0 days 02:27:29.424000
VER,70.0,0 days 02:27:47.612000,
GAS,1.0,0 days 00:58:13.190000,
GAS,54.0,0 days 02:07:13.774000,
GAS,67.0,0 days 02:24:20.976000,0 days 02:25:58.223000
GAS,68.0,0 days 02:26:16.438000,0 days 02:27:44.940000
GAS,69.0,0 days 02:28:03.065000,
ANT,15.0,0 days 01:16:16.796000,
ANT,39.0,0 days 01:46:55.070000,
ANT,68.0,0 days 02:23:41.725000,0 days 02:25:26.109000
ANT,69.0,0 days 02:25:45.036000,0 days 02:27:30.534000
ANT,70.0,0 days 02:27:48.799000,
ALO,16.0,0 days 01:17:48.472000,
ALO,51.0,0 days 02:02:54.678000,
ALO,67.0,0 days 02:23:28.382000,0 days 02:25:03.867000
ALO,68.0,0 days 02:25:22.095000,0 days 02:26:43.158000
ALO,69.0,0 days 02:27:01.471000,0 days 02:28:19.831000
ALO,70.0,0 days 02:28:38.065000,
LEC,29.0,0 days 01:34:14.077000,
LEC,54.0,0 days 02:05:58.101000,
LEC,68.0,0 days 02:24:08.835000,0 days 02:25:45.567000
LEC,69.0,0 days 02:26:03.817000,0 days 02:27:36.331000
LEC,70.0,0 days 02:27:54.534000,
STR,25.0,0 days 01:29:45.659000,
STR,52.0,0 days 02:04:50.351000,
STR,67.0,0 days 02:24:29.937000,0 days 02:26:07.598000
STR,68.0,0 days 02:26:25.908000,0 days 02:27:49.487000
STR,69.0,0 days 02:28:07.846000,
TSU,57.0,0 days 02:10:52.463000,
TSU,67.0,0 days 02:24:14.022000,0 days 02:25:53.130000
TSU,68.0,0 days 02:26:11.377000,0 days 02:27:39.424000
TSU,69.0,0 days 02:27:57.674000,
ALB,24.0,0 days 01:28:28.913000,
HUL,20.0,0 days 01:23:03.099000,
HUL,67.0,0 days 02:23:32.538000,0 days 02:25:06.621000
HUL,68.0,0 days 02:25:24.880000,0 days 02:26:45.690000
HUL,69.0,0 days 02:27:04.096000,0 days 02:28:22.597000
HUL,70.0,0 days 02:28:40.956000,
LAW,1.0,0 days 00:58:12.190000,
LAW,39.0,0 days 01:47:54.604000,
OCO,58.0,0 days 02:11:58.066000,
OCO,67.0,0 days 02:23:49.522000,0 days 02:25:28.401000
OCO,68.0,0 days 02:25:46.630000,0 days 02:27:31.752000
OCO,69.0,0 days 02:27:49.909000,
NOR,30.0,0 days 01:35:27.503000,
NOR,48.0,0 days 01:58:20.376000,
COL,15.0,0 days 01:16:37.249000,
COL,67.0,0 days 02:24:16.616000,0 days 02:25:55.364000
COL,68.0,0 days 02:26:13.533000,0 days 02:27:41.206000
COL,69.0,0 days 02:27:59.393000,
HAM,16.0,0 days 01:17:40.378000,
HAM,46.0,0 days 01:56:10.903000,
HAM,68.0,0 days 02:24:40.745000,0 days 02:26:13.122000
HAM,69.0,0 days 02:26:31.377000,0 days 02:27:50.909000
HAM,70.0,0 days 02:28:09.081000,
BOR,50.0,0 days 02:02:02.440000,
BOR,67.0,0 days 02:24:17.585000,0 days 02:25:56.926000
BOR,68.0,0 days 02:26:15.264000,0 days 02:27:42.831000
BOR,69.0,0 days 02:28:01.143000,
SAI,58.0,0 days 02:12:01.848000,
SAI,67.0,0 days 02:23:50.163000,0 days 02:25:29.378000
SAI,68.0,0 days 02:25:47.630000,0 days 02:27:33.018000
SAI,69.0,0 days 02:27:51.159000,
HAD,14.0,0 days 01:15:23.030000,
HAD,67.0,0 days 02:24:27.172000,0 days 02:26:04.505000
HAD,68.0,0 days 02:26:22.830000,0 days 02:27:47.503000
HAD,69.0,0 days 02:28:05.800000,
RUS,14.0,0 days 01:14:55.405000,
RUS,43.0,0 days 01:51:52.210000,
RUS,68.0,0 days 02:23:36.053000,0 days 02:25:23.600000
RUS,69.0,0 days 02:25:42.942000,0 days 02:27:28.393000
RUS,70.0,0 days 02:27:46.581000,
PIA,17.0,0 days 01:18:52.644000,
PIA,46.0,0 days 01:55:46.028000,
PIA,68.0,0 days 02:23:50.882000,0 days 02:25:30.537000
PIA,69.0,0 days 02:25:48.880000,0 days 02:27:34.549000
PIA,70.0,0 days 02:27:52.737000,
BEA,19.0,0 days 01:21:55.099000,
BEA,67.0,0 days 02:24:11.741000,0 days 02:25:50.301000
BEA,68.0,0 days 02:26:08.505000,0 days 02:27:37.362000
BEA,69.0,0 days 02:27:55.534000,
