Abbreviation,Full Name,Status
RUS,George Russell,Finished
VER,Max Verstappen,Finished
ANT,Kimi Antonelli,Finished
PIA,Oscar Piastri,Finished
LEC,Charles Leclerc,Finished
HAM,Lewis Hamilton,Finished
ALO,Fernando Alonso,Finished
HUL,Nico Hulkenberg,Finished
OCO,Esteban Ocon,Lapped
SAI,Carlos Sainz,Lapped
BEA,Oliver Bearman,Lapped
TSU,Yuki Tsunoda,Lapped
COL,Franco Colapinto,Lapped
BOR,Gabriel Bortoleto,Lapped
GAS,Pierre Gasly,Lapped
HAD,Isack Hadjar,Lapped
STR,Lance Stroll,Lapped
NOR,Lando Norris,Retired
LAW,Liam Lawson,Retired
ALB,Alexander Albon,Retired
