Driver,Lap Number,Pit Out Time,Pit In Time
VER,12.0,0 days 01:17:52.088000,
VER,42.0,0 days 02:17:11.002000,
GAS,12.0,0 days 01:18:02.828000,
GAS,42.0,0 days 02:17:12.127000,
ANT,3.0,0 days 01:00:36.856000,
ANT,10.0,0 days 01:14:43.467000,
ANT,21.0,0 days 01:39:55.175000,
ALO,12.0,0 days 01:18:03.719000,
ALO,38.0,0 days 02:10:23.290000,
LEC,1.0,0 days 00:56:24.191000,
LEC,11.0,0 days 01:16:25.769000,
LEC,43.0,0 days 02:18:58.818000,
STR,7.0,0 days 01:08:52.659000,
STR,11.0,0 days 01:16:13.146000,
STR,42.0,0 days 02:17:06.220000,
TSU,12.0,0 days 01:18:12.578000,
TSU,42.0,0 days 02:17:58.302000,
ALB,13.0,0 days 01:20:00.918000,
ALB,43.0,0 days 02:19:03.131000,
HUL,10.0,0 days 01:14:30.446000,
HUL,43.0,0 days 02:18:32.770000,
OCO,19.0,0 days 01:34:34.616000,
OCO,43.0,0 days 02:19:05.209000,
NOR,12.0,0 days 01:17:53.064000,
NOR,45.0,0 days 02:21:16.628000,
HAM,12.0,0 days 01:18:01.672000,
HAM,42.0,0 days 02:16:54.162000,
BOR,1.0,0 days 00:56:25.786000,
SAI,12.0,0 days 01:18:06.125000,
SAI,42.0,0 days 02:17:21.287000,
HAD,1.0,0 days 00:56:24.826000,
HAD,11.0,0 days 01:16:30.859000,
RUS,1.0,0 days 00:56:22.315000,
RUS,11.0,0 days 01:16:19.162000,
RUS,39.0,0 days 02:12:04.554000,
PIA,12.0,0 days 01:17:44.304000,
PIA,44.0,0 days 02:19:47.025000,
BEA,1.0,0 days 00:56:26.410000,
BEA,11.0,0 days 01:16:33.749000,
BEA,42.0,0 days 02:17:23.069000,
