Position_x,Team,grid_position_diff,GridPosition,best_qualifying_time,target_position
1.0,Mercedes,0.0,1.0,81.164,2.0
2.0,Ferrari,0.0,2.0,81.828,3.0
3.0,Ferrari,0.0,3.0,81.838,1.0
4.0,Red Bull,0.0,4.0,81.879,6.0
5.0,Red Bull,3.0,8.0,82.152,4.0
8.0,Renault,-1.0,7.0,83.532,7.0
9.0,Renault,0.0,9.0,83.577,10.0
10.0,Mercedes,5.0,15.0,82.089,8.0
11.0,McLaren,-1.0,10.0,83.69200000000001,5.0
12.0,McLaren,-1.0,11.0,83.85300000000001,9.0
13.0,Force India,-1.0,12.0,84.005,11.0
14.0,Williams,-1.0,13.0,84.23,14.0
15.0,Force India,-1.0,14.0,84.786,12.0
16.0,Toro Rosso,0.0,16.0,84.532,15.0
18.0,Sauber,0.0,18.0,84.636,13.0
1.0,Ferrari,0.0,1.0,87.958,1.0
3.0,Mercedes,0.0,3.0,88.124,2.0
4.0,Mercedes,5.0,9.0,88.22,3.0
6.0,Toro Rosso,-1.0,5.0,89.32900000000001,4.0
7.0,Haas F1 Team,-1.0,6.0,89.358,5.0
8.0,Renault,-1.0,7.0,89.57,6.0
9.0,Force India,-1.0,8.0,89.874,10.0
10.0,Renault,0.0,10.0,89.986,11.0
11.0,Toro Rosso,0.0,11.0,90.105,17.0
12.0,Force India,0.0,12.0,90.156,16.0
13.0,McLaren,0.0,13.0,90.212,7.0
14.0,McLaren,0.0,14.0,90.525,8.0
16.0,Haas F1 Team,0.0,16.0,90.53,13.0
17.0,Sauber,0.0,17.0,91.063,9.0
18.0,Williams,0.0,18.0,91.414,15.0
19.0,Sauber,0.0,19.0,91.42,12.0
20.0,Williams,0.0,20.0,91.503,14.0
1.0,Ferrari,0.0,1.0,91.095,8.0
2.0,Ferrari,0.0,2.0,91.182,3.0
3.0,Mercedes,0.0,3.0,91.625,2.0
4.0,Mercedes,0.0,4.0,91.675,4.0
5.0,Red Bull,0.0,5.0,91.79599999999999,5.0
6.0,Red Bull,0.0,6.0,91.94800000000001,1.0
7.0,Renault,0.0,7.0,92.532,6.0
8.0,Force India,0.0,8.0,92.75800000000001,12.0
9.0,Renault,0.0,9.0,92.819,9.0
10.0,Haas F1 Team,0.0,10.0,92.85499999999999,17.0
